"","status","family","pval","qval","index","gene_ids","mito","n_cells_by_counts","mean_counts","log1p_mean_counts","pct_dropout_by_counts","total_counts","log1p_total_counts","n_cells","gene_short_name","use_for_ordering"
"RP11-34P13.7","OK","negbinomial.size",0.264235011974235,0.514438669678542,"RP11-34P13.7","ENSG00000238009","False",12,0.0035190615,0.003512884,99.6480938416422,12,2.5649493,12,"RP11-34P13.7",FALSE
"FO538757.2","OK","negbinomial.size",0.559507466849361,0.783809328559547,"FO538757.2","ENSG00000279457","False",1119,0.4228739,0.35267872,67.1847507331378,1442,7.2744794,1119,"FO538757.2",FALSE
"AP006222.2","OK","negbinomial.size",0.643637557058638,0.84274845539331,"AP006222.2","ENSG00000228463","False",1161,0.47360703,0.38771316,65.9530791788856,1615,7.387709,1161,"AP006222.2",FALSE
"RP4-669L17.10","OK","negbinomial.size",0.16935711256456,0.387576361247187,"RP4-669L17.10","ENSG00000237094","False",28,0.008211143,0.008177616,99.1788856304985,28,3.3672957,28,"RP4-669L17.10",FALSE
"RP5-857K21.4","OK","negbinomial.size",0.915977883793032,0.989204356589809,"RP5-857K21.4","ENSG00000230021","False",11,0.0032258064,0.0032206147,99.6774193548387,11,2.4849067,11,"RP5-857K21.4",FALSE
"RP11-206L10.9","OK","negbinomial.size",0.861868650593927,0.965536813754989,"RP11-206L10.9","ENSG00000237491","False",323,0.102052785,0.09717461,90.5278592375367,348,5.855072,323,"RP11-206L10.9",FALSE
"LINC00115","OK","negbinomial.size",0.312912021596958,0.570928064993763,"LINC00115","ENSG00000225880","False",162,0.049266864,0.048091695,95.2492668621701,168,5.1298985,162,"LINC00115",FALSE
"FAM41C","OK","negbinomial.size",0.00875603754366671,0.0398667112860884,"FAM41C","ENSG00000230368","False",155,0.047800586,0.046693288,95.4545454545455,163,5.0998664,155,"FAM41C",FALSE
"RP11-54O7.1","OK","negbinomial.size",0.276072548985019,0.5293340881103,"RP11-54O7.1","ENSG00000230699","False",70,0.02111437,0.02089455,97.9472140762463,72,4.2904596,70,"RP11-54O7.1",FALSE
"RP11-54O7.2","OK","negbinomial.size",0.445745819670965,0.695998651997512,"RP11-54O7.2","ENSG00000241180","False",11,0.0032258064,0.0032206147,99.6774193548387,11,2.4849067,11,"RP11-54O7.2",FALSE
"RP11-54O7.3","OK","negbinomial.size",0.0153057641987621,0.0630697971757651,"RP11-54O7.3","ENSG00000223764","False",89,0.027272727,0.026907453,97.3900293255132,93,4.543295,89,"RP11-54O7.3",FALSE
"SAMD11","OK","negbinomial.size",0.909576899833229,0.987984569440256,"SAMD11","ENSG00000187634","False",603,0.27565983,0.24346356,82.316715542522,940,6.846943,603,"SAMD11",FALSE
"NOC2L","OK","negbinomial.size",9.22605850341362e-14,2.11495224390823e-12,"NOC2L","ENSG00000188976","False",2845,2.5607038,1.2699583,16.5689149560117,8732,9.074864,2845,"NOC2L",TRUE
"KLHL17","OK","negbinomial.size",0.204595816837028,0.438680407190457,"KLHL17","ENSG00000187961","False",275,0.08709677,0.08351063,91.9354838709677,297,5.6970935,275,"KLHL17",FALSE
"PLEKHN1","OK","negbinomial.size",0.070691315069,0.208772427744986,"PLEKHN1","ENSG00000187583","False",580,0.19120234,0.17496318,82.9912023460411,652,6.481577,580,"PLEKHN1",FALSE
"PERM1","OK","negbinomial.size",0.373936067332898,0.632447029344038,"PERM1","ENSG00000187642","False",24,0.007038123,0.007013471,99.2961876832845,24,3.218876,24,"PERM1",FALSE
"RP11-54O7.17","OK","negbinomial.size",0.414996556110514,0.671071542914832,"RP11-54O7.17","ENSG00000272512","False",107,0.034017596,0.033451796,96.8621700879765,116,4.762174,107,"RP11-54O7.17",FALSE
"HES4","OK","negbinomial.size",2.46574571582792e-17,7.59620757854982e-16,"HES4","ENSG00000188290","False",3015,5.8334312,1.921827,11.58357771261,19892,9.898123,3015,"HES4",FALSE
"ISG15","OK","negbinomial.size",0.0681771766534588,0.203257748233381,"ISG15","ENSG00000187608","False",3127,9.177712,2.3202002,8.29912023460411,31296,10.351277,3127,"ISG15",TRUE
"AGRN","OK","negbinomial.size",0.327994075281978,0.586488623313909,"AGRN","ENSG00000188157","False",1885,1.0014663,0.69388,44.7214076246334,3415,8.136226,1885,"AGRN",FALSE
"RP11-54O7.18","OK","negbinomial.size",0.429304474751182,0.682580376773196,"RP11-54O7.18","ENSG00000273443","False",3,0.0008797654,0.0008793786,99.9120234604106,3,1.3862944,3,"RP11-54O7.18",FALSE
"RNF223","OK","negbinomial.size",0.359455511488656,0.61988169724382,"RNF223","ENSG00000237330","False",115,0.036363635,0.03571808,96.6275659824047,124,4.828314,115,"RNF223",FALSE
"C1orf159","OK","negbinomial.size",0.00172837090656151,0.00976811725692274,"C1orf159","ENSG00000131591","False",752,0.26158357,0.23236772,77.9472140762463,892,6.7945867,752,"C1orf159",FALSE
"RP11-465B22.8","OK","negbinomial.size",0.97206660688277,0.999999999652452,"RP11-465B22.8","ENSG00000272141","False",97,0.030205278,0.02975808,97.1554252199413,103,4.644391,97,"RP11-465B22.8",FALSE
"TTLL10","OK","negbinomial.size",0.426306172724134,0.680417564889462,"TTLL10","ENSG00000162571","False",20,0.006158358,0.0061394726,99.4134897360704,21,3.0910425,20,"TTLL10",FALSE
"TNFRSF18","OK","negbinomial.size",0.813669860389439,0.938779127744127,"TNFRSF18","ENSG00000186891","False",150,0.05601173,0.05449929,95.6011730205279,191,5.2574954,150,"TNFRSF18",FALSE
"TNFRSF4","OK","negbinomial.size",0.373882734681824,0.632447029344038,"TNFRSF4","ENSG00000186827","False",19,0.006451613,0.0064308904,99.4428152492669,22,3.1354942,19,"TNFRSF4",FALSE
"SDF4","OK","negbinomial.size",0.0829904524518715,0.234483329828396,"SDF4","ENSG00000078808","False",2917,3.1882699,1.4322877,14.4574780058651,10872,9.294038,2917,"SDF4",FALSE
"B3GALT6","OK","negbinomial.size",0.740239290996371,0.899053785966633,"B3GALT6","ENSG00000176022","False",1121,0.443695,0.3672058,67.1260997067449,1513,7.3225102,1121,"B3GALT6",FALSE
"FAM132A","OK","negbinomial.size",0.210498137058314,0.44664704440225,"FAM132A","ENSG00000184163","False",785,0.7043988,0.5332124,76.9794721407625,2402,7.7844734,785,"FAM132A",TRUE
"RP5-902P8.12","OK","negbinomial.size",0.453480092859483,0.7028631732171,"RP5-902P8.12","ENSG00000260179","False",7,0.0020527858,0.0020506817,99.7947214076246,7,2.0794415,7,"RP5-902P8.12",FALSE
"UBE2J2","OK","negbinomial.size",2.54345498725644e-09,3.78644811331726e-08,"UBE2J2","ENSG00000160087","False",2487,2.1571848,1.1496807,27.0674486803519,7356,8.903407,2487,"UBE2J2",FALSE
"RP5-902P8.10","OK","negbinomial.size",0.652809186948664,0.849208167680154,"RP5-902P8.10","ENSG00000230415","False",11,0.0032258064,0.0032206147,99.6774193548387,11,2.4849067,11,"RP5-902P8.10",FALSE
"SCNN1D","OK","negbinomial.size",0.0955742968596218,0.258968561071607,"SCNN1D","ENSG00000162572","False",35,0.01026393,0.010211614,98.9736070381232,35,3.583519,35,"SCNN1D",FALSE
"ACAP3","OK","negbinomial.size",0.0813902167392987,0.23114504684374,"ACAP3","ENSG00000131584","False",688,0.23841642,0.21383348,79.8240469208211,813,6.7019606,688,"ACAP3",FALSE
"PUSL1","OK","negbinomial.size",0.00168939866129495,0.00957435284599041,"PUSL1","ENSG00000169972","False",1808,0.92785925,0.6564102,46.9794721407625,3164,8.059908,1808,"PUSL1",FALSE
"CPSF3L","OK","negbinomial.size",0.00153199719211975,0.00877236968013622,"CPSF3L","ENSG00000127054","False",1576,0.6903226,0.5249194,53.782991202346,2354,7.764296,1576,"CPSF3L",FALSE
"CPTP","OK","negbinomial.size",0.128242909923661,0.319902471322762,"CPTP","ENSG00000224051","False",1479,0.6483871,0.49979728,56.6275659824047,2211,7.7016525,1479,"CPTP",FALSE
"DVL1","OK","negbinomial.size",0.0115863322632868,0.0502742164233782,"DVL1","ENSG00000107404","False",1168,0.48592377,0.39603665,65.7478005865103,1657,7.4133673,1168,"DVL1",FALSE
"MXRA8","OK","negbinomial.size",7.63892257144785e-06,7.02182689117112e-05,"MXRA8","ENSG00000162576","False",493,0.21466276,0.19446647,85.5425219941349,732,6.5971456,493,"MXRA8",FALSE
"AURKAIP1","OK","negbinomial.size",3.13920457293032e-10,5.179180404047e-09,"AURKAIP1","ENSG00000175756","False",3362,14.314663,2.7288108,1.40762463343108,48813,10.795773,3362,"AURKAIP1",FALSE
"CCNL2","OK","negbinomial.size",0.263942774290457,0.514117028884472,"CCNL2","ENSG00000221978","False",1728,0.80293256,0.58941454,49.3255131964809,2738,7.915348,1728,"CCNL2",FALSE
"MRPL20","OK","negbinomial.size",0.000491952180426232,0.00318079242963146,"MRPL20","ENSG00000242485","False",3348,9.705865,2.3707917,1.81818181818182,33097,10.407228,3348,"MRPL20",FALSE
"RP4-758J18.13","OK","negbinomial.size",0.115558436286516,0.297152343088516,"RP4-758J18.13","ENSG00000272455","False",116,0.034604106,0.034018848,96.5982404692082,118,4.7791233,116,"RP4-758J18.13",FALSE
"ANKRD65","OK","negbinomial.size",0.506267735683479,0.744070200965718,"ANKRD65","ENSG00000235098","False",200,0.06744868,0.06527139,94.1348973607038,230,5.4424176,200,"ANKRD65",FALSE
"RP4-758J18.10","OK","negbinomial.size",0.000562296066968538,0.00359127491176748,"RP4-758J18.10","ENSG00000225285","False",4,0.0011730206,0.0011723331,99.8826979472141,4,1.609438,4,"RP4-758J18.10",FALSE
"VWA1","OK","negbinomial.size",1.48512356329525e-13,3.36293223728443e-12,"VWA1","ENSG00000179403","False",1458,0.9392962,0.66232514,57.2434017595308,3203,8.072155,1458,"VWA1",TRUE
"ATAD3C","OK","negbinomial.size",0.0596699369578941,0.185075137878087,"ATAD3C","ENSG00000215915","False",341,0.11055718,0.104861856,90,377,5.934894,341,"ATAD3C",FALSE
"ATAD3B","OK","negbinomial.size",4.56114793759842e-15,1.18526013518381e-13,"ATAD3B","ENSG00000160072","False",1475,0.7439883,0.5561746,56.7448680351906,2537,7.839132,1475,"ATAD3B",FALSE
"ATAD3A","OK","negbinomial.size",0.000683864383243903,0.00428494176656611,"ATAD3A","ENSG00000197785","False",1247,0.49706745,0.40350816,63.4310850439883,1695,7.436028,1247,"ATAD3A",FALSE
"TMEM240","OK","negbinomial.size",0.43337887972465,0.685598607263262,"TMEM240","ENSG00000205090","False",45,0.013489736,0.01339956,98.6803519061584,46,3.8501475,45,"TMEM240",FALSE
"SSU72","OK","negbinomial.size",0.791643779028989,0.926396481417846,"SSU72","ENSG00000160075","False",3327,8.721408,2.2743304,2.43401759530791,29740,10.300282,3327,"SSU72",FALSE
"RP5-832C2.5","OK","negbinomial.size",0.229860758666903,0.471612857435609,"RP5-832C2.5","ENSG00000215014","False",202,0.06363636,0.061693568,94.0762463343109,217,5.3844953,202,"RP5-832C2.5",FALSE
"C1orf233","OK","negbinomial.size",0.75308793359579,0.906333254433669,"C1orf233","ENSG00000228594","False",539,0.18416423,0.16903724,84.1935483870968,628,6.4441314,539,"C1orf233",FALSE
"RP11-345P4.9","OK","negbinomial.size",0.74981062219148,0.904101204091469,"RP11-345P4.9","ENSG00000272106","False",223,0.07067449,0.06828881,93.4604105571847,241,5.488938,223,"RP11-345P4.9",FALSE
"MIB2","OK","negbinomial.size",0.0013102346873858,0.00766369998520746,"MIB2","ENSG00000197530","False",1239,0.5557185,0.44193748,63.6656891495601,1895,7.5475016,1239,"MIB2",FALSE
"MMP23B","OK","negbinomial.size",0.0721131684222246,0.211984456505451,"MMP23B","ENSG00000189409","False",53,0.016422287,0.016288899,98.4457478005865,56,4.0430512,53,"MMP23B",FALSE
"CDK11B","OK","negbinomial.size",1.8951854024378e-33,1.25679096898676e-31,"CDK11B","ENSG00000248333","False",2318,1.4384165,0.89134884,32.0234604105572,4905,8.498214,2318,"CDK11B",TRUE
"RP11-345P4.10","OK","negbinomial.size",0.946129899666951,0.999999999652452,"RP11-345P4.10","ENSG00000272004","False",80,0.024633432,0.02433492,97.6539589442815,84,4.4426513,80,"RP11-345P4.10",FALSE
"SLC35E2B","OK","negbinomial.size",0.480311570971403,0.725135918182489,"SLC35E2B","ENSG00000189339","False",961,0.35014662,0.3002132,71.8181818181818,1194,7.0859013,961,"SLC35E2B",FALSE
"RP11-345P4.7","OK","negbinomial.size",0.230201819273645,0.471980742688638,"RP11-345P4.7","ENSG00000269737","False",3,0.0008797654,0.0008793786,99.9120234604106,3,1.3862944,3,"RP11-345P4.7",FALSE
"CDK11A","OK","negbinomial.size",3.09153732525746e-10,5.10466045823634e-09,"CDK11A","ENSG00000008128","False",1626,0.7410557,0.55449164,52.316715542522,2527,7.8351836,1626,"CDK11A",FALSE
"SLC35E2","OK","negbinomial.size",0.0748492574539422,0.217808246687102,"SLC35E2","ENSG00000215790","False",137,0.043108504,0.042205203,95.9824046920821,147,4.9972124,137,"SLC35E2",FALSE
"NADK","OK","negbinomial.size",0.220626466464235,0.460215751372395,"NADK","ENSG00000008130","False",1359,0.5744868,0.45392936,60.1466275659824,1959,7.5807,1359,"NADK",FALSE
"GNB1","OK","negbinomial.size",0.131930541101647,0.326057486327617,"GNB1","ENSG00000078369","False",3198,4.8970675,1.7744552,6.21700879765396,16699,9.723164,3198,"GNB1",FALSE
"RP1-140A9.1","OK","negbinomial.size",0.476047076811419,0.721363717180297,"RP1-140A9.1","ENSG00000231050","False",5,0.0014662757,0.0014652017,99.8533724340176,5,1.7917595,5,"RP1-140A9.1",FALSE
"TMEM52","OK","negbinomial.size",0.428923183684961,0.682461324823971,"TMEM52","ENSG00000178821","False",137,0.042521995,0.041642774,95.9824046920821,145,4.983607,137,"TMEM52",FALSE
"CFAP74","OK","negbinomial.size",0.104626375741251,0.277243607228212,"CFAP74","ENSG00000142609","False",8,0.0032258064,0.0032206147,99.7653958944282,11,2.4849067,8,"CFAP74",FALSE
"RP11-547D24.1","OK","negbinomial.size",0.338353429077009,0.597874798483679,"RP11-547D24.1","ENSG00000233542","False",23,0.007038123,0.007013471,99.3255131964809,24,3.218876,23,"RP11-547D24.1",FALSE
"GABRD","OK","negbinomial.size",0.129148670348506,0.32150637015006,"GABRD","ENSG00000187730","False",32,0.010557185,0.010501847,99.0615835777126,36,3.6109178,32,"GABRD",FALSE
"RP11-547D24.3","OK","negbinomial.size",0.875409467679127,0.971175954212453,"RP11-547D24.3","ENSG00000226969","False",3,0.0008797654,0.0008793786,99.9120234604106,3,1.3862944,3,"RP11-547D24.3",FALSE
"PRKCZ","OK","negbinomial.size",0.264530221938497,0.514721328293208,"PRKCZ","ENSG00000067606","False",645,0.21906158,0.19808137,81.0850439882698,747,6.617403,645,"PRKCZ",FALSE
"RP5-892K4.1","OK","negbinomial.size",0.498822024579211,0.73786026853839,"RP5-892K4.1","ENSG00000271806","False",64,0.019354839,0.019169915,98.1231671554252,66,4.204693,64,"RP5-892K4.1",FALSE
"RP11-181G12.2","OK","negbinomial.size",0.419133425333564,0.674523191962376,"RP11-181G12.2","ENSG00000182873","False",13,0.0038123168,0.0038050683,99.6187683284458,13,2.6390574,13,"RP11-181G12.2",FALSE
"FAAP20","OK","negbinomial.size",2.40737169647645e-10,4.00411782577619e-09,"FAAP20","ENSG00000162585","False",3089,5.035484,1.797656,9.41348973607038,17171,9.751036,3089,"FAAP20",FALSE
"SKI","OK","negbinomial.size",0.880751875648303,0.974135325722455,"SKI","ENSG00000157933","False",1554,0.6777126,0.5174313,54.4281524926686,2311,7.745868,1554,"SKI",FALSE
"MORN1","OK","negbinomial.size",0.20203645864204,0.435394832426444,"MORN1","ENSG00000116151","False",290,0.090322584,0.0864736,91.4956011730205,308,5.733341,290,"MORN1",FALSE
"RER1","OK","negbinomial.size",1.40123078730544e-06,1.45501468381869e-05,"RER1","ENSG00000157916","False",3193,7.5175953,2.142134,6.36363636363636,25635,10.151752,3193,"RER1",FALSE
"PEX10","OK","negbinomial.size",0.10403445188885,0.276140829087689,"PEX10","ENSG00000157911","False",1513,0.7058651,0.53407234,55.6304985337243,2407,7.786552,1513,"PEX10",FALSE
"PLCH2","OK","negbinomial.size",2.69335255194339e-13,5.99256273131196e-12,"PLCH2","ENSG00000149527","False",778,0.3085044,0.2688848,77.1847507331378,1052,6.9593987,778,"PLCH2",FALSE
"PANK4","OK","negbinomial.size",0.2755552139591,0.528668622093118,"PANK4","ENSG00000157881","False",256,0.08064516,0.077558234,92.4926686217009,275,5.620401,256,"PANK4",FALSE
"HES5","OK","negbinomial.size",0.809054392290578,0.936256995044479,"HES5","ENSG00000197921","False",5,0.0014662757,0.0014652017,99.8533724340176,5,1.7917595,5,"HES5",FALSE
"RP3-395M20.12","OK","negbinomial.size",0.421183695419811,0.675620590508886,"RP3-395M20.12","ENSG00000272449","False",252,0.08387097,0.08053886,92.6099706744868,286,5.659482,252,"RP3-395M20.12",FALSE
"RP3-395M20.8","OK","negbinomial.size",0.0588753465088857,0.183534793680975,"RP3-395M20.8","ENSG00000238164","False",68,0.023167156,0.02290287,98.0058651026393,79,4.3820267,68,"RP3-395M20.8",FALSE
"TNFRSF14","OK","negbinomial.size",0.404272690271365,0.662383258366166,"TNFRSF14","ENSG00000157873","False",854,0.3111437,0.2708998,74.9560117302053,1061,6.9679093,854,"TNFRSF14",FALSE
"RP3-395M20.9","OK","negbinomial.size",0.762121417437561,0.911861853950904,"RP3-395M20.9","ENSG00000228037","False",8,0.0023460411,0.0023432935,99.7653958944282,8,2.1972246,8,"RP3-395M20.9",FALSE
"FAM213B","OK","negbinomial.size",0.995169592029172,0.999999999652452,"FAM213B","ENSG00000157870","False",727,0.2601173,0.23120481,78.6803519061584,887,6.788972,727,"FAM213B",FALSE
"MMEL1","OK","negbinomial.size",0.0526023009873519,0.168401567032392,"MMEL1","ENSG00000142606","False",133,0.041348975,0.040516965,96.099706744868,141,4.955827,133,"MMEL1",FALSE
"TTC34","OK","negbinomial.size",0.139957154362761,0.338940583099288,"TTC34","ENSG00000215912","False",45,0.013196481,0.013110166,98.6803519061584,45,3.8286414,45,"TTC34",FALSE
"LINC00982","OK","negbinomial.size",0.0707539834699975,0.208897096324761,"LINC00982","ENSG00000177133","False",82,0.024926687,0.024621084,97.5953079178886,85,4.454347,82,"LINC00982",FALSE
"PRDM16","OK","negbinomial.size",0.386495906732001,0.644107285819281,"PRDM16","ENSG00000142611","False",388,0.13548388,0.12705888,88.6217008797654,462,6.1377273,388,"PRDM16",FALSE
"RP11-22L13.1","OK","negbinomial.size",0.602976212867991,0.814428590651284,"RP11-22L13.1","ENSG00000272235","False",3,0.0008797654,0.0008793786,99.9120234604106,3,1.3862944,3,"RP11-22L13.1",FALSE
"ARHGEF16","OK","negbinomial.size",0.427542951273207,0.681206888547745,"ARHGEF16","ENSG00000130762","False",628,0.23255132,0.20908627,81.58357771261,793,6.6770835,628,"ARHGEF16",FALSE
"RP11-168F9.2","OK","negbinomial.size",0.349623799674504,0.610093222384,"RP11-168F9.2","ENSG00000272088","False",24,0.007038123,0.007013471,99.2961876832845,24,3.218876,24,"RP11-168F9.2",FALSE
"MEGF6","OK","negbinomial.size",0.641705095753616,0.841228066947165,"MEGF6","ENSG00000162591","False",168,0.053372435,0.05199686,95.0733137829912,182,5.209486,168,"MEGF6",FALSE
"RP11-46F15.2","OK","negbinomial.size",0.90521782146232,0.98582824957116,"RP11-46F15.2","ENSG00000238260","False",19,0.0055718473,0.005556382,99.4428152492669,19,2.9957323,19,"RP11-46F15.2",FALSE
"TPRG1L","OK","negbinomial.size",0.447217702099266,0.697277882041094,"TPRG1L","ENSG00000158109","False",1276,0.51466274,0.4151928,62.5806451612903,1755,7.4707937,1276,"TPRG1L",FALSE
"WRAP73","OK","negbinomial.size",0.000296938978702662,0.00201762429807115,"WRAP73","ENSG00000116213","False",982,0.35659823,0.30498028,71.2023460410557,1216,7.104144,982,"WRAP73",FALSE
"TP73","OK","negbinomial.size",0.543085148477599,0.771657645508298,"TP73","ENSG00000078900","False",67,0.020821115,0.020607319,98.0351906158358,71,4.276666,67,"TP73",FALSE
"TP73-AS1","OK","negbinomial.size",0.261945443869145,0.511935287630589,"TP73-AS1","ENSG00000227372","False",430,0.14281525,0.13349473,87.3900293255132,487,6.1903152,430,"TP73-AS1",FALSE
"SMIM1","OK","negbinomial.size",1.04235791507786e-23,4.5394798327218e-22,"SMIM1","ENSG00000235169","False",675,0.31524926,0.27402622,80.2052785923754,1075,6.9810057,675,"SMIM1",TRUE
"LRRC47","OK","negbinomial.size",0.259873623902987,0.509012910563195,"LRRC47","ENSG00000130764","False",1233,0.5017595,0.40663743,63.841642228739,1711,7.4454174,1233,"LRRC47",FALSE
"CEP104","OK","negbinomial.size",0.557388938012318,0.782163469264161,"CEP104","ENSG00000116198","False",1541,0.6662757,0.51059103,54.8093841642229,2272,7.7288556,1541,"CEP104",FALSE
"DFFB","OK","negbinomial.size",0.797025169750013,0.929817174557003,"DFFB","ENSG00000169598","False",109,0.03255132,0.032032747,96.8035190615836,111,4.7184987,109,"DFFB",FALSE
"C1orf174","OK","negbinomial.size",2.35955711452212e-09,3.52810791098933e-08,"C1orf174","ENSG00000198912","False",2026,1.098827,0.7413786,40.5865102639296,3747,8.228977,2026,"C1orf174",TRUE
"LINC01134","OK","negbinomial.size",0.374605300436769,0.632997101406136,"LINC01134","ENSG00000236423","False",69,0.02052786,0.020320004,97.9765395894428,70,4.26268,69,"LINC01134",FALSE
"NPHP4","OK","negbinomial.size",0.137955628359077,0.336166035461005,"NPHP4","ENSG00000131697","False",155,0.047214076,0.046133377,95.4545454545455,161,5.0875964,155,"NPHP4",FALSE
"KCNAB2","OK","negbinomial.size",0.785435483656513,0.92288556369351,"KCNAB2","ENSG00000069424","False",644,0.2281525,0.205511,81.1143695014663,778,6.658011,644,"KCNAB2",FALSE
"CHD5","OK","negbinomial.size",0.0660405727148502,0.198920321147444,"CHD5","ENSG00000116254","False",1454,1.3785924,0.8665089,57.3607038123167,4701,8.455743,1454,"CHD5",FALSE
"RPL22","OK","negbinomial.size",1.10582522920387e-08,1.51995156840438e-07,"RPL22","ENSG00000116251","False",3407,42.334602,3.7689514,0.0879765395894405,144361,11.880079,3407,"RPL22",FALSE
"RP1-120G22.11","OK","negbinomial.size",0.430141163792284,0.682750487290752,"RP1-120G22.11","ENSG00000226944","False",26,0.0076246336,0.007595713,99.2375366568915,26,3.295837,26,"RP1-120G22.11",FALSE
"RNF207","OK","negbinomial.size",1.40764698954001e-06,1.46093443909323e-05,"RNF207","ENSG00000158286","False",1236,0.4903226,0.3989926,63.7536656891495,1672,7.422374,1236,"RNF207",TRUE
"ICMT","OK","negbinomial.size",7.10112076038576e-08,8.75847774944922e-07,"ICMT","ENSG00000116237","False",2386,1.513783,0.92178875,30.0293255131965,5162,8.5492735,2386,"ICMT",FALSE
"LINC00337","OK","negbinomial.size",3.86523715834093e-06,3.76119432868573e-05,"LINC00337","ENSG00000225077","False",169,0.07507332,0.07238886,95.0439882697947,256,5.549076,169,"LINC00337",FALSE
"GPR153","OK","negbinomial.size",0.726969424931165,0.89222151809993,"GPR153","ENSG00000158292","False",968,0.46041057,0.3787176,71.6129032258064,1570,7.3594675,968,"GPR153",FALSE
"ACOT7","OK","negbinomial.size",1.10674239763262e-08,1.52018920454918e-07,"ACOT7","ENSG00000097021","False",1975,1.0583577,0.72190845,42.0821114369501,3609,8.191463,1975,"ACOT7",FALSE
"RP1-202O8.3","OK","negbinomial.size",0.232481503146631,0.475223649096271,"RP1-202O8.3","ENSG00000271746","False",33,0.009677419,0.009630893,99.0322580645161,33,3.5263605,33,"RP1-202O8.3",FALSE
"HES2","OK","negbinomial.size",0.151398531909574,0.357906830353363,"HES2","ENSG00000069812","False",1083,0.4744868,0.38831,68.2404692082111,1618,7.389564,1083,"HES2",FALSE
"ESPN","OK","negbinomial.size",0.277581458151885,0.531110190421757,"ESPN","ENSG00000187017","False",232,0.07331378,0.070750855,93.1964809384164,250,5.525453,232,"ESPN",FALSE
"TNFRSF25","OK","negbinomial.size",0.0695893317639305,0.206383345619033,"TNFRSF25","ENSG00000215788","False",347,0.11114369,0.10538984,89.8240469208211,379,5.9401712,347,"TNFRSF25",FALSE
"PLEKHG5","OK","negbinomial.size",0.289156292137291,0.544885807445721,"PLEKHG5","ENSG00000171680","False",386,0.12844574,0.120841235,88.6803519061584,438,6.0844994,386,"PLEKHG5",FALSE
"NOL9","OK","negbinomial.size",1.5280869191818e-06,1.57791584045947e-05,"NOL9","ENSG00000162408","False",1261,0.51466274,0.4151928,63.0205278592375,1755,7.4707937,1261,"NOL9",FALSE
"ZBTB48","OK","negbinomial.size",0.12201617599503,0.308514532644032,"ZBTB48","ENSG00000204859","False",420,0.13841642,0.1296382,87.683284457478,472,6.1590953,420,"ZBTB48",FALSE
"KLHL21","OK","negbinomial.size",0.366098065462797,0.626122445775948,"KLHL21","ENSG00000162413","False",972,0.3750733,0.31850705,71.4956011730205,1279,7.1546154,972,"KLHL21",FALSE
"PHF13","OK","negbinomial.size",0.00197561323003025,0.0109741365850878,"PHF13","ENSG00000116273","False",689,0.24222875,0.21690714,79.7947214076246,826,6.717805,689,"PHF13",FALSE
"THAP3","OK","negbinomial.size",2.1979623467802e-08,2.91137360136093e-07,"THAP3","ENSG00000041988","False",1042,0.4536657,0.37408844,69.4428152492669,1547,7.344719,1042,"THAP3",FALSE
"DNAJC11","OK","negbinomial.size",0.00360239222385195,0.0186417180573033,"DNAJC11","ENSG00000007923","False",1192,0.44926685,0.3710578,65.0439882697947,1532,7.334982,1192,"DNAJC11",FALSE
"RP11-312B8.1","OK","negbinomial.size",0.251720292387236,0.499357709014112,"RP11-312B8.1","ENSG00000237436","False",35,0.010557185,0.010501847,98.9736070381232,36,3.6109178,35,"RP11-312B8.1",FALSE
"CAMTA1","OK","negbinomial.size",0.375292915584347,0.633594961032171,"CAMTA1","ENSG00000171735","False",3159,4.226686,1.6537775,7.36070381231672,14413,9.575955,3159,"CAMTA1",FALSE
"RP11-338N10.3","OK","negbinomial.size",0.360739247573683,0.620534868440801,"RP11-338N10.3","ENSG00000269978","False",3,0.0008797654,0.0008793786,99.9120234604106,3,1.3862944,3,"RP11-338N10.3",FALSE
"VAMP3","OK","negbinomial.size",0.15424603051477,0.362456876813641,"VAMP3","ENSG00000049245","False",2723,2.064516,1.1198896,20.1466275659824,7040,8.859506,2723,"VAMP3",FALSE
"PER3","OK","negbinomial.size",0.112381282680422,0.291700050673227,"PER3","ENSG00000049246","False",744,0.271261,0.24000932,78.1818181818182,925,6.8308744,744,"PER3",FALSE
"UTS2","OK","negbinomial.size",0.235012380287195,0.477957569189083,"UTS2","ENSG00000049247","False",10,0.0029325513,0.0029282598,99.7067448680352,10,2.3978953,10,"UTS2",FALSE
"TNFRSF9","OK","negbinomial.size",0.22478943058025,0.465509897556686,"TNFRSF9","ENSG00000049249","False",61,0.027272727,0.026907453,98.2111436950147,93,4.543295,61,"TNFRSF9",FALSE
"PARK7","OK","negbinomial.size",0.000129085133751998,0.000947722450353906,"PARK7","ENSG00000116288","False",3383,12.13607,2.575362,0.791788856304987,41384,10.630673,3383,"PARK7",FALSE
"ERRFI1","OK","negbinomial.size",3.34656347847532e-40,2.77859996129506e-38,"ERRFI1","ENSG00000116285","False",2516,4.0970674,1.6286653,26.217008797654,13971,9.54481,2516,"ERRFI1",TRUE
"RP11-431K24.1","OK","negbinomial.size",0.0137134827088287,0.0577521410985208,"RP11-431K24.1","ENSG00000238290","False",413,0.15718475,0.14599012,87.8885630498534,536,6.285998,413,"RP11-431K24.1",FALSE
"RP11-431K24.3","OK","negbinomial.size",0.171412446621595,0.390866924429305,"RP11-431K24.3","ENSG00000227634","False",58,0.017595308,0.017442303,98.2991202346041,60,4.1108737,58,"RP11-431K24.3",FALSE
