"","status","family","pval","qval","index","gene_ids","mito","n_cells_by_counts","mean_counts","log1p_mean_counts","pct_dropout_by_counts","total_counts","log1p_total_counts","n_cells","gene_short_name","use_for_ordering"
"RBM5","OK","negbinomial.size",0.254879108286862,0.503180532259728,"RBM5","ENSG00000003756","False",1517,0.6451613,0.4978384,55.5131964809384,2200,7.696667,1517,"RBM5",FALSE
"RBM5-AS1","OK","negbinomial.size",0.382682389954048,0.640154612187669,"RBM5-AS1","ENSG00000281691","False",18,0.0052785925,0.0052647097,99.4721407624633,18,2.944439,18,"RBM5-AS1",FALSE
"SEMA3F-AS1","OK","negbinomial.size",0.294501038789156,0.551548112714883,"SEMA3F-AS1","ENSG00000235016","False",5,0.0014662757,0.0014652017,99.8533724340176,5,1.7917595,5,"SEMA3F-AS1",FALSE
"SEMA3F","OK","negbinomial.size",0.140164899976267,0.3391436531467,"SEMA3F","ENSG00000001617","False",386,0.12346041,0.11641358,88.6803519061584,421,6.0450053,386,"SEMA3F",FALSE
"GNAT1","OK","negbinomial.size",0.999999999526373,0.999999999652452,"GNAT1","ENSG00000114349","False",3,0.0008797654,0.0008793786,99.9120234604106,3,1.3862944,3,"GNAT1",FALSE
"GNAI2","OK","negbinomial.size",0.0110104946959519,0.0481561786220166,"GNAI2","ENSG00000114353","False",2755,2.645748,1.2935616,19.208211143695,9022,9.1075325,2755,"GNAI2",FALSE
"U73166.2","OK","negbinomial.size",0.914202566721249,0.988647610805396,"U73166.2","ENSG00000230454","False",27,0.009970674,0.009921295,99.208211143695,34,3.5553482,27,"U73166.2",FALSE
"SEMA3B","OK","negbinomial.size",0.120062607121628,0.305296985669762,"SEMA3B","ENSG00000012171","False",134,0.04222874,0.04136144,96.0703812316715,144,4.9767337,134,"SEMA3B",FALSE
"LSMEM2","OK","negbinomial.size",0.44059168680589,0.691681885083834,"LSMEM2","ENSG00000179564","False",37,0.01085044,0.0107919965,98.9149560117302,37,3.637586,37,"LSMEM2",FALSE
"IFRD2","OK","negbinomial.size",9.88005184928735e-10,1.54873414444892e-08,"IFRD2","ENSG00000214706","False",2581,2.0821114,1.1256149,24.3108504398827,7100,8.8679905,2581,"IFRD2",FALSE
"HYAL3","OK","negbinomial.size",0.214118458674636,0.451234989520166,"HYAL3","ENSG00000186792","False",229,0.07067449,0.06828881,93.2844574780059,241,5.488938,229,"HYAL3",FALSE
"NAT6","OK","negbinomial.size",0.216107174152538,0.45397398252243,"NAT6","ENSG00000243477","False",255,0.07653959,0.073751815,92.5219941348974,261,5.5683446,255,"NAT6",FALSE
