,scores,names,logfoldchanges,pvals,pvals_adj
613,4.822743892669678,FAR2,1.5887459516525269,1.4159659441418983e-06,4.710277591058351e-05
614,-4.814221382141113,PKN1,-0.769797682762146,1.4777476417444701e-06,4.907804159777366e-05
615,-4.8116278648376465,MZT2A,-0.37947770953178406,1.4970596766598697e-06,4.963870762301597e-05
616,-4.811133861541748,FAU,-0.23317620158195496,1.5007655688470272e-06,4.9680934754782054e-05
617,-4.809898376464844,LIPA,-1.5621298551559448,1.5100689276877306e-06,4.9908022407802424e-05
618,-4.809404373168945,RPS28,-0.2974523603916168,1.5138057753669358e-06,4.995069945374744e-05
619,4.807675361633301,BIRC7,1.247550368309021,1.5269548820456118e-06,5.030331204158326e-05
620,-4.800881862640381,ABCG2,-1.6881388425827026,1.5796830959714598e-06,5.195656559616275e-05
621,4.798905849456787,PPP1R14A,0.2900813817977905,1.5953480086638973e-06,5.238743259961431e-05
622,4.797670841217041,OSBPL10,0.839679479598999,1.6052142935281472e-06,5.2626808900982994e-05
623,-4.794335842132568,GNAI2,-0.41894590854644775,1.6321471104432106e-06,5.3404326585446206e-05
624,4.794088840484619,ECT2,0.5318741202354431,1.634159320240092e-06,5.3404326585446206e-05
625,-4.791741847991943,SYNE2,-1.3161708116531372,1.6533946193042214e-06,5.394662156435898e-05
626,4.782848834991455,C6orf48,0.32690438628196716,1.7282801993634043e-06,5.630003679744423e-05
627,4.768150806427002,NPTX1,1.7102746963500977,1.859246802868204e-06,6.044784846429356e-05
628,4.767903804779053,PKIA,1.9426589012145996,1.8615273774316107e-06,6.044784846429356e-05
629,4.767533302307129,SPRY4,1.05140221118927,1.8649532795953585e-06,6.0462969421801905e-05
630,-4.765433311462402,LRRFIP2,-0.5127478241920471,1.8844814453387489e-06,6.0999260730656015e-05
631,-4.76456880569458,EID1,-0.4497050642967224,1.8925794279171267e-06,6.116445382153055e-05
632,4.762345314025879,IRS2,1.0383598804473877,1.913556625193865e-06,6.168506412703986e-05
633,-4.762221813201904,HPS1,-0.496764212846756,1.9147285511159495e-06,6.168506412703986e-05
634,-4.760863304138184,HMOX1,-0.5519909858703613,1.927665330871585e-06,6.200403839850729e-05
635,-4.7602458000183105,NFIC,-0.469663143157959,1.933573406589236e-06,6.209628432324707e-05
636,-4.752834796905518,PQLC3,-0.9340292811393738,2.0058411457121573e-06,6.431602103794477e-05
637,4.752464294433594,CP,2.053689956665039,2.0095218161116723e-06,6.43330456020077e-05
638,-4.748388290405273,HRH1,-1.1665241718292236,2.0504397680763686e-06,6.554026958209676e-05
639,-4.745918273925781,HLA-C,-0.8195486068725586,2.0756267574256917e-06,6.624168206315586e-05
640,4.7435712814331055,EIF1,0.3575230836868286,2.0998294647131894e-06,6.6909542615861e-05
641,-4.739989280700684,TCF7,-1.336768388748169,2.137293768093726e-06,6.799723553475756e-05
642,-4.738260269165039,ICAM1,-1.273101806640625,2.155608940584917e-06,6.847327000225027e-05
643,-4.737272262573242,ROMO1,-0.33358386158943176,2.166142329988538e-06,6.870102032611162e-05
644,4.731466770172119,PLEKHH2,1.3322253227233887,2.22903138612225e-06,7.058599389387125e-05
645,4.72121524810791,MAN1A2,0.4555961787700653,2.3443969494112855e-06,7.412431531226859e-05
646,-4.719239234924316,SHOC2,-0.46465739607810974,2.367285619314962e-06,7.473231649846692e-05
647,-4.717509746551514,KIAA0101,-0.6416292786598206,2.3874890685324434e-06,7.525380281601104e-05
648,4.714792251586914,SAMD4B,0.22665536403656006,2.4195721890965206e-06,7.612269524459617e-05
649,4.714545249938965,AMPD3,1.8206926584243774,2.4225092733898416e-06,7.612269524459617e-05
650,4.713557243347168,MMP1,3.2526960372924805,2.4342918747236767e-06,7.637544015550091e-05
651,-4.709604740142822,ABCC1,-0.8863947987556458,2.481974796130476e-06,7.775204786957817e-05
